Role,Location,Min Salary,Max Salary,Recruiter,Salary_Text,Description
Veterinary Surgeon,"Cheltenham, Gloucestershire",55000,55000,Medivet,"Salary package up to £55,000 per annum","Veterinary Surgeon wanted to work across 3 sister practices - Cheltenham, Leckhampton & Charlton Kings, an opportunity to work on a varied case load."
Veterinary Surgeon,"Carterton, Oxfordshire",60000,60000,Medivet,"Full time salary up to £60,000",Part time Vet Surgeon - Carterton - excellent facilities and lovely practice. Working alongside experienced team. FTE up to 60k
Veterinary Surgeon,"Keith, Moray",70000,70000,Seafield Veterinary Group,"Salary up to £70,000 depending on experience","Seafield Veterinary Group, Keith is looking for a mixed Veterinary Surgeon to join their team."
Veterinary Surgeon,"Hinckley, Leicestershire",50000,55000,Medivet,"Salary £50,000 to £55,000 per year","Veterinary Surgeon - Hinckley, Leicestershire - Salary £50,000 to £55,000 per year"
Lead Veterinary Surgeon - Calne/Lyneham,"Calne, Wiltshire and Lyneham, Chippenham",60000,75000,Medivet,"Salary £60,000 to £75,000 per year","Lead Veterinary Surgeon - Calne and Lyneham - Salary £60,000 to £75,000 per year"
Lead Veterinary Surgeon - Branch Partnership Opportunity - Merthyr Tydfil,Merthyr Tydfil (Merthyr Tudful),75000,80000,Medivet,"Salary £75,000 to £80,000 per year","Lead Veterinary Surgeon - Branch Partnership Opportunity - Merthyr Tydfil - Salary £75,000 to £80,000 per year"
Veterinary Surgeon,"Calne, Wiltshire",45000,50000,Medivet,"Salary £45,000 to £50,000 per year","Veterinary Surgeon - Calne - Salary £45,000 to £50,000 per year"
Veterinary Surgeon,London (covering SW and SE postcodes),65000,65000,Scourfield Veterinary Services,"Salary up to £65,000 FTE dependent on experience plus bonus + benefits","Part-time vet wanted for mobile practise (home visits only) in London. Flexible working hours between 9am and 5:30pm, no weekends or OOH."
Veterinary Surgeon,"Kent, United Kingdom",,,Vets4Pets,Competitive Salary,"Companion Care Vets in Folkestone is looking for an additional Vet to join our team! Due to practice growth over the last few months, we are lookin..."
Veterinary Surgeon,"Surrey, United Kingdom",,,Vets4Pets,Competitive Salary,An exciting opportunity has arisen at Woking Vets4Pets and we are looking for a Full Time Veterinary Surgeon to join our established and successful...
Veterinary Surgeon,"Greater Manchester, United Kingdom",,,Vets4Pets,Competitive Salary,"- Up to £70,000 per year (DoE, FTE) - Permanent Full or Part Time (20 - 40 hours per week) - Flexible work considered offering you a role that suit..."
Senior Veterinary Surgeon,"Redcar, North Yorkshire",65000,65000,"White Cross Vets, Redcar","Salary up to £65,000 depending on experience",Redcar has a great mixture between surgery and consults each day with a very interesting workload!
Vet Surgeon,"Sutton, London (Greater)",60000,60000,Medivet,"£60,000 per year",Medivet 24 Hour Sutton 24 Hour are seeking a Veterinary Surgeon to join their busy hospital. This lively hospital will provide the successful candi...
Veterinary Surgeon,"Solihull, United Kingdom",65000,65000,608 Vet Practice,"£65,000 per annum, Up to and dependent on experience","608 practice was established in 1932, we are a Primary Care, multi-site practice, focusing on small animals and pets. We have practices in Solihul..."
Veterinary Surgeon,"Worcester, Worcestershire",,,The Worcester Vet Group,"Competitive salary negotiated on experience/competence. Staff discounts. RCVS, VDS/ OV paid for.",The Worcester Vet Group have a vacancy for a full-time small animal Veterinary Surgeon to join our wonderful team at Ambleside Vets and St Peters Vets
Lead Veterinary Surgeon - Silsden,"Silsden, Keighley",60000,75000,Medivet,"£60,000 - £75,000 per year","£60,000 - £75,000 per year"
Lead Veterinary Surgeon - Stoke on Trent,"Stoke-on-Trent, Staffordshire",60000,75000,Medivet,"£60,000 - £75,000 per year","£60,000 - £75,000 per year"
Veterinary Surgeon,"Cornwall, United Kingdom",,,Vets4Pets,Competitive Salary,"Dreaming of a role where you can take ownership of your career then truly unwind from the demands of your day; enjoying the great outdoors, sea air..."
Graduate Veterinary Surgeon - Graduate Development Programme,"Devon, United Kingdom",,,Vets4Pets,Competitive Salary,"Our support, Your Future Get practice ready with Vets for Pets and Companion Care Newton Abbot Vets for Pets is looking for a graduate vet to join..."
Veterinary Surgeon,"Hampshire, United Kingdom",,,Vets4Pets,Competitive Salary,"""I joined Companion Care Vets Portsmouth as a locum and decided to stay due to the culture of respect and teamwork here. I have witnessed and exper..."
Veterinary Surgeon,"London, United Kingdom",,,Vets4Pets,Competitive Salary,"Our delightful veterinary practice in Blackheath, London enjoys an excellent reputation within the group and local community. Based on the route of..."
Veterinary Surgeon,"Greater London, United Kingdom",,,Vets4Pets,Competitive Salary,"Nick Briggs is recruiting for a Veterinary Surgeon to join his busy and established practice based in Dagenham, Essex. This is a full time or part..."
Veterinary Surgeon,"London, United Kingdom",,,Vets4Pets,Competitive Salary,"Welcome Bonus of £5000 available* and relocation package if required. Salary ranging from £45,000 to £60,000 dependant on experience. We are a smal..."
Lead Veterinary Surgeon,"Essex, United Kingdom",,,Vets4Pets,Competitive Salary,Practice owner Cheryl Lucas is looking for an experienced and confident Lead Vet Surgeon to join her team in Ilford! This is a fantastic opportunit...
Veterinary Surgeon,"Filton, United Kingdom",,,Vets4Pets,Competitive Salary,"If you are an experienced Veterinary Surgeon looking to join a friendly, supportive, and dedicated team then we would love to hear from you here at..."
Veterinary Surgeon,"Oxfordshire, United Kingdom",,,Vets4Pets,Competitive Salary,There are so many reasons why you'll enjoy taking our growing practice in Banbury to the next level - from the supportive team and fantastic facili...
Veterinary Surgeon,"Northamptonshire, United Kingdom",,,Vets4Pets,Competitive Salary,"As a progressive, growing and highly successful practice we are on the lookout for an outstanding Veterinary Surgeon to join our expanding, friendl..."
Senior Veterinary Surgeon,"Northamptonshire, United Kingdom",,,Vets4Pets,Competitive Salary,WELCOME BONUS OF £2K AVAILABLE FOR DIRECT RECRUITS AND EXCELLENT CPD OPPORTUNITIES! Due to expansion we are seeking experienced/Senior Veterinary S...
Veterinary Surgeon,"Warwickshire, United Kingdom",,,Vets4Pets,Competitive Salary,"If you're looking for a supportive vet role where you can develop your skills and pursue an area of interest, then we have a great role for you her..."
Veterinary Surgeon,"Leicestershire, United Kingdom",,,Vets4Pets,Competitive Salary,Are you looking to progress in your career? Interested in pursuing your clinical interests or completing a certificate? At Market Harborough Vets f...
Head Veterinary Surgeon,"Leicestershire, United Kingdom",,,Vets4Pets,Competitive Salary,"If you are looking for an exciting new role and the opportunity to grow your career, then we have the perfect role for you here at Hinckley Vets4Pe..."
Veterinary Surgeon,"Cheshire, United Kingdom",,,Vets4Pets,Competitive Salary,"Chester Caldy Vets4Pets was opened in 2017 as a one-vet practice by JVP Emma Hall. We have since grown to become a team of 17, including 3.5 FTE ve..."
Clinical Lead / Lead Veterinary Surgeon,"Cheshire, United Kingdom",,,Vets4Pets,Competitive Salary,"At Runcorn Vets for Pets we're offering a salary to £70,000 for an experienced Vet to join our established and friendly team. This is the perfect s..."
Veterinary Surgeon,"Cheshire, United Kingdom",,,Vets4Pets,Competitive Salary,We have an exciting opportunity for a passionate Veterinary Surgeon to come and join our friendly and vibrant team at Widnes Vets4Pets. Widnes is l...
Veterinary Surgeon,"Greater Manchester, United Kingdom",,,Vets4Pets,Competitive Salary,We have an exciting opportunity for a Veterinary Surgeon to come and join our friendly team at Trafford Park Vets for Pets. We are conveniently loc...
Clinical Lead / Lead Veterinary Surgeon,"Greater Manchester, United Kingdom",,,Vets4Pets,Competitive Salary,At Leigh Vets for Pets we have aspirations to grow our practice further and are now looking for an ambitious Veterinary Surgeon to join us in a lea...
Veterinary Surgeon,"County Durham, United Kingdom",,,Vets4Pets,Competitive Salary,We have a new and exciting opportunity at our Bishop Auckland Vets4Pets surgery for an experienced Veterinary Surgeon to join our friendly team on...
Veterinary Surgeon,"Darlington, Durham",33,55,Grange Vets,£33k -£55K,"We are currently seeking a motivated and enthusiastic vet to join our team in Darlington, County Durham."
Lead Vet Surgeon,"Ashtead, Surrey",60000,70000,Medivet,"£60,000 - £70,000 per year",Medivet Ashtead is a well established clinic which provides a good range of services and is supported by a network of neighbouring Medivet practice...
Veterinary Surgeon,"Worksop, United Kingdom",57000,57000,Wildbore Vetstop,"£57,000 per annum, Up to and depending on experience",Our purpose-built hospital has 8 consulting rooms including 2 dedicated cat rooms with cat only waiting area. We also have a separate consulting r...
Veterinary Surgeon,"Lancashire, United Kingdom",,,Vets4Pets,Competitive Salary,1. Are you wanting to settle in to a practice were you can build relationships with both your clients and your team? 2. Do you want to work in a pr...
Veterinary Surgeon,"Sleaford, Lincolnshire",70000,70000,Kirks Vets Ltd,"Salary up to £70,000 depending on experience","Are you seeking a rewarding career in a vibrant, fast-paced small animal practice? Look no further than Kirks Vets in Sleaford!"
Senior Veterinary Surgeon,"Sherborne, Dorset",75000,75000,"The Kingston Veterinary Group, Sherborne","Salary up to £75,000 depending on experience",Are you a Senior/Head Vet or aspiring to be one? Would you like to obtain a Surgical or Medical certificate? Look no further!
Veterinary Surgeon,Dolgellau Gwynedd,,,Milfeddygon Dolgellau Cyf,"Competitive salary, depending on experience","If you’re looking to work in a stunning location, with a fantastic and supportive team then look no further! We are the practice for you!"
Veterinary Surgeon (Part-Time) - Ripon,"Ripon, North Yorkshire",40000,55000,Medivet,"£40,000 - £55,000 per year","Salary package £40,000 - £55,000 per year"
Lead Veterinary Surgeon,"Ashby-De-La-Zouch, United Kingdom",5000,68000,Woodward Veterinary Practice,"£68,000 per annum, £5,000 welcome bonus, Salary up to and depending on experience","Here at Woodward Veterinary Practice, we have an outstanding, purpose-built, modern practice. We are well equipped with a brand-new X-ray machine,..."
Veterinary Surgeon,"Mid Glamorgan, United Kingdom",,,Vets4Pets,Competitive Salary,"If you are looking to join a forward thinking, flexible practice paying up to £70,000 depending on experience this is the one for you! Our colleagu..."
Veterinary Surgeon,"Lincolnshire, United Kingdom",,,Vets4Pets,Competitive Salary,An opportunity has arisen for a confident and forward-thinking Veterinary Surgeon to join the team at our rapidly growing practice in Scunthorpe! T...
Veterinary Surgeon,"South Yorkshire, United Kingdom",,,Vets4Pets,Competitive Salary,Are you an Experienced Veterinary Surgeon looking to join a practice where you will have the clinical freedom to pursue your area of interest? Here...
Veterinary Surgeon,"Cheshire, United Kingdom",,,Vets4Pets,Competitive Salary,We are seeking a 5th Veterinary Surgeon to come and join our friendly and vibrant team at Warrington Riverside Vets4Pets. Warrington is based in th...
Veterinary Surgeon,"Wirral, United Kingdom",,,Vets4Pets,Competitive Salary,Are you looking for a truly flexible role? Do you have a way of working that you know would suit you best but are afraid to ask prospective employe...
Veterinary Surgeon,"Merseyside, United Kingdom",,,Vets4Pets,Competitive Salary,"About us: The Southport Vets for pets opened in February 2017, our bright, spacious, air-conditioned surgery is purpose built to industry leading s..."
